ID,名称,销售数量,Steam价格,最低售价,价格比例
968094,双持贝瑞塔 | 水枪冲击 (久经沙场),545,1.54,8.17,5.305194805194805
927350,USP 消音版 | 沙漠战术 (崭新出厂),208,1,4.74,4.74
42197,USP 消音版 | 午夜行动 (久经沙场),689,0.47,2.86,6.085106382978723
36097,P250 | 元素轮廓 (略有磨损),463,0.4,1.97,4.925
34437,沙漠之鹰 | 陨星 (略有磨损),448,1.18,6,5.084745762711865
857670,USP 消音版 | 倒吊人 (略有磨损),493,27.6,142,5.144927536231884
871432,USP 消音版 | 黑莲花 (战痕累累),74,1.68,8.47,5.041666666666667
34449,沙漠之鹰 | 纳迦蛇神 (略有磨损),287,3.71,17.37,4.681940700808625
781598,沙漠之鹰 | 印花集 (久经沙场),5599,42.97,233,5.422387712357459
781541,格洛克 18 型 | 摩登时代 (久经沙场),1053,4.44,21.9,4.932432432432432
968386,宙斯 X27 电击枪 | 鼾龙传说 (崭新出厂),131,111.37,611,5.4862171141240905
35034,格洛克 18 型 | 铁之作 (破损不堪),64,0.25,1.31,5.24
967984,USP 消音版 | 27 (略有磨损),230,0.59,2.81,4.76271186440678
763273,P250 | 影魔 (崭新出厂),687,2.15,11.8,5.488372093023257
968277,格洛克 18 型 | 凫色涂鸦 (崭新出厂),533,2,11.7,5.85
968118,FN57 | 午夜喷涂 (崭新出厂),781,0.37,1.74,4.702702702702703
35898,P2000 | 渐变琥珀 (崭新出厂),975,9.39,52.29,5.5686900958466445
956533,Tec-9 | 渣渣 (崭新出厂),124,0.46,2.7,5.869565217391305
956492,双持贝瑞塔 | 藏身处 (略有磨损),326,0.23,1.36,5.91304347826087
857598,格洛克 18 型 | 一目了然 (破损不堪),173,0.23,1.01,4.391304347826087
968094,双持贝瑞塔 | 水枪冲击 (久经沙场),545,1.54,8.17,5.305194805194805
968048,沙漠之鹰 | 跷跷板 (久经沙场),6691,0.35,1.59,4.542857142857144
927350,USP 消音版 | 沙漠战术 (崭新出厂),208,1,4.74,4.74
927344,Tec-9 | 腐朽木乃伊 (略有磨损),181,1.23,6.99,5.682926829268293
921423,R8 左轮手枪 | 蕉农炮 (略有磨损),225,1.1,5.87,5.336363636363636
42197,USP 消音版 | 午夜行动 (久经沙场),689,0.47,2.86,6.085106382978723
36097,P250 | 元素轮廓 (略有磨损),463,0.4,1.97,4.925
34437,沙漠之鹰 | 陨星 (略有磨损),448,1.18,6,5.084745762711865
33838,沙漠之鹰 | 都市瓦砾 (久经沙场),876,0.51,2.99,5.862745098039216
857670,USP 消音版 | 倒吊人 (略有磨损),493,27.6,142,5.144927536231884
871432,USP 消音版 | 黑莲花 (战痕累累),74,1.68,8.47,5.041666666666667
781598,沙漠之鹰 | 印花集 (久经沙场),5599,42.97,233,5.422387712357459
781541,格洛克 18 型 | 摩登时代 (久经沙场),1053,4.44,21.9,4.932432432432432
968386,宙斯 X27 电击枪 | 鼾龙传说 (崭新出厂),131,111.37,611,5.4862171141240905
35034,格洛克 18 型 | 铁之作 (破损不堪),64,0.25,1.31,5.24
967984,USP 消音版 | 27 (略有磨损),229,0.59,2.81,4.76271186440678
763273,P250 | 影魔 (崭新出厂),687,2.15,11.8,5.488372093023257
968277,格洛克 18 型 | 凫色涂鸦 (崭新出厂),533,2,11.7,5.85
968118,FN57 | 午夜喷涂 (崭新出厂),781,0.37,1.74,4.702702702702703
35898,P2000 | 渐变琥珀 (崭新出厂),975,9.39,52.29,5.5686900958466445
35034,格洛克 18 型 | 铁之作 (破损不堪),64,0.25,1.31,5.24
967984,USP 消音版 | 27 (略有磨损),229,0.59,2.81,4.76271186440678
763273,P250 | 影魔 (崭新出厂),687,2.15,11.8,5.488372093023257
968277,格洛克 18 型 | 凫色涂鸦 (崭新出厂),533,2,11.7,5.85
968118,FN57 | 午夜喷涂 (崭新出厂),781,0.37,1.74,4.702702702702703
35898,P2000 | 渐变琥珀 (崭新出厂),975,9.39,52.29,5.5686900958466445
956492,双持贝瑞塔 | 藏身处 (略有磨损),326,0.23,1.36,5.91304347826087
857598,格洛克 18 型 | 一目了然 (破损不堪),173,0.23,1.01,4.391304347826087
921550,P250 | 重构 (崭新出厂),267,0.4,1.94,4.85
921492,Tec-9 | 叛逆 (崭新出厂),268,0.36,2.05,5.694444444444444
921480,格洛克 18 型 | 圆影玉兔 (略有磨损),679,1.2,6.36,5.300000000000001
886682,USP 消音版 | 地狱门票 (略有磨损),989,1.35,6.19,4.5851851851851855
886674,P2000（StatTrak™） | 升天 (略有磨损),87,0.39,2.09,5.358974358974359
33846,双持贝瑞塔 | 钴蓝石英 (崭新出厂),1833,0.29,1.69,5.827586206896552
779237,沙漠之鹰 | 蓝色层压板 (战痕累累),405,0.27,1.32,4.888888888888888
900571,R8 左轮手枪 | 疯狂老八 (破损不堪),259,0.5,2.78,5.56
857562,沙漠之鹰 | 后发制人 (破损不堪),375,0.59,2.99,5.067796610169492
968035,USP 消音版 | 27 (久经沙场),209,0.28,1.29,4.607142857142857
886982,FN57（StatTrak™） | 涂鸦潦草 (久经沙场),276,0.21,1,4.761904761904762
43951,Tec-9 | 艾萨克 (久经沙场),103,4.5,22.9,5.088888888888889
921492,Tec-9 | 叛逆 (崭新出厂),268,0.36,2.05,5.694444444444444
921480,格洛克 18 型 | 圆影玉兔 (略有磨损),679,1.2,6.36,5.300000000000001
886682,USP 消音版 | 地狱门票 (略有磨损),989,1.35,6.19,4.5851851851851855
886674,P2000（StatTrak™） | 升天 (略有磨损),87,0.39,2.09,5.358974358974359
33846,双持贝瑞塔 | 钴蓝石英 (崭新出厂),1833,0.29,1.69,5.827586206896552
779237,沙漠之鹰 | 蓝色层压板 (战痕累累),405,0.27,1.32,4.888888888888888
900571,R8 左轮手枪 | 疯狂老八 (破损不堪),259,0.5,2.78,5.56
857562,沙漠之鹰 | 后发制人 (破损不堪),375,0.59,2.99,5.067796610169492
968035,USP 消音版 | 27 (久经沙场),209,0.28,1.29,4.607142857142857
886982,FN57（StatTrak™） | 涂鸦潦草 (久经沙场),276,0.21,1,4.761904761904762
43951,Tec-9 | 艾萨克 (久经沙场),103,4.5,22.9,5.088888888888889
42179,USP 消音版 | 守护者 (略有磨损),545,8,42.59,5.32375
967993,格洛克 18 型 | 凫色涂鸦 (久经沙场),518,1.09,6.2,5.6880733944954125
956472,宙斯 X27 电击枪 | 奥林匹斯 (略有磨损),265,15,85,5.666666666666667
900594,双持贝瑞塔 | 食人花 (崭新出厂),234,3.08,14.4,4.675324675324675
886667,FN57（StatTrak™） | 涂鸦潦草 (略有磨损),239,0.5,2.58,5.16
871328,USP 消音版 | 黑莲花 (久经沙场),540,2.12,11,5.188679245283018
857633,R8 左轮手枪（StatTrak™） | 废物王 (久经沙场),90,0.66,3.27,4.954545454545454
779304,R8 左轮手枪（StatTrak™） | 骸骨锻造 (略有磨损),70,0.47,2.33,4.957446808510639
779270,P2000（StatTrak™） | 酸蚀 (略有磨损),115,3.4,15.28,4.4941176470588236
886682,USP 消音版 | 地狱门票 (略有磨损),989,1.35,6.19,4.5851851851851855
886674,P2000（StatTrak™） | 升天 (略有磨损),87,0.39,2.09,5.358974358974359
33846,双持贝瑞塔 | 钴蓝石英 (崭新出厂),1833,0.29,1.69,5.827586206896552
779237,沙漠之鹰 | 蓝色层压板 (战痕累累),405,0.27,1.32,4.888888888888888
900571,R8 左轮手枪 | 疯狂老八 (破损不堪),259,0.5,2.78,5.56
857562,沙漠之鹰 | 后发制人 (破损不堪),375,0.59,2.99,5.067796610169492
968035,USP 消音版 | 27 (久经沙场),209,0.28,1.29,4.607142857142857
886982,FN57（StatTrak™） | 涂鸦潦草 (久经沙场),276,0.21,1,4.761904761904762
43951,Tec-9 | 艾萨克 (久经沙场),103,4.5,22.9,5.088888888888889
42179,USP 消音版 | 守护者 (略有磨损),545,8,42.59,5.32375
967993,格洛克 18 型 | 凫色涂鸦 (久经沙场),518,1.09,6.2,5.6880733944954125
956472,宙斯 X27 电击枪 | 奥林匹斯 (略有磨损),265,15,85,5.666666666666667
900594,双持贝瑞塔 | 食人花 (崭新出厂),234,3.08,14.4,4.675324675324675
886667,FN57（StatTrak™） | 涂鸦潦草 (略有磨损),239,0.5,2.58,5.16
871328,USP 消音版 | 黑莲花 (久经沙场),539,2.12,11,5.188679245283018
857633,R8 左轮手枪（StatTrak™） | 废物王 (久经沙场),90,0.66,3.27,4.954545454545454
779304,R8 左轮手枪（StatTrak™） | 骸骨锻造 (略有磨损),70,0.47,2.33,4.957446808510639
779270,P2000（StatTrak™） | 酸蚀 (略有磨损),115,3.4,15.28,4.4941176470588236
773695,FN57 | 好兄弟 (略有磨损),85,1.46,7.84,5.36986301369863
769219,沙漠之鹰 | 轻轨 (略有磨损),931,2.2,11.3,5.136363636363637
967993,格洛克 18 型 | 凫色涂鸦 (久经沙场),518,1.09,6.2,5.6880733944954125
956472,宙斯 X27 电击枪 | 奥林匹斯 (略有磨损),265,15,85,5.666666666666667
900594,双持贝瑞塔 | 食人花 (崭新出厂),234,3.08,14.4,4.675324675324675
886667,FN57（StatTrak™） | 涂鸦潦草 (略有磨损),239,0.5,2.58,5.16
871328,USP 消音版 | 黑莲花 (久经沙场),539,2.12,11,5.188679245283018
857633,R8 左轮手枪（StatTrak™） | 废物王 (久经沙场),90,0.66,3.27,4.954545454545454
779304,R8 左轮手枪（StatTrak™） | 骸骨锻造 (略有磨损),70,0.47,2.33,4.957446808510639
779270,P2000（StatTrak™） | 酸蚀 (略有磨损),115,3.4,15.28,4.4941176470588236
773695,FN57 | 好兄弟 (略有磨损),85,1.46,7.84,5.36986301369863
769219,沙漠之鹰 | 轻轨 (略有磨损),931,2.2,11.3,5.136363636363637
762118,格洛克 18 型 | 核子花园 (久经沙场),882,2.09,9.76,4.669856459330144
759193,R8 左轮手枪 | 生存主义者 (略有磨损),88,0.35,2.05,5.857142857142857
45383,FN57 | 焰色反应 (崭新出厂),532,0.39,1.7,4.358974358974359
38348,CZ75（StatTrak™） | 先驱 (略有磨损),111,3.37,19.17,5.688427299703265
35052,格洛克 18 型 | 皇家军团 (久经沙场),155,3.37,17.46,5.181008902077151
956592,双持贝瑞塔（StatTrak™） | 藏身处 (略有磨损),157,0.58,3,5.172413793103448
921442,P2000 | 变态杀戮 (破损不堪),128,2.3,10,4.347826086956522
42167,USP 消音版 | 次时代 (久经沙场),830,1.62,7.95,4.907407407407407
781671,沙漠之鹰 | 印花集 (略有磨损),3695,62.67,337.5,5.385351842987075
763290,USP 消音版（StatTrak™） | 闪回 (久经沙场),223,2.39,10.89,4.556485355648536
956592,双持贝瑞塔（StatTrak™） | 藏身处 (略有磨损),157,0.58,3,5.172413793103448
921442,P2000 | 变态杀戮 (破损不堪),128,2.3,10,4.347826086956522
42167,USP 消音版 | 次时代 (久经沙场),830,1.62,7.95,4.907407407407407
781671,沙漠之鹰 | 印花集 (略有磨损),3695,62.67,337.5,5.385351842987075
763290,USP 消音版（StatTrak™） | 闪回 (久经沙场),223,2.39,10.89,4.556485355648536
45370,USP 消音版 | 脑洞大开 (久经沙场),1894,3.96,19.7,4.974747474747475
36079,P250 | 生化短吻鳄 (略有磨损),561,7.15,33.3,4.657342657342657
968408,P250（StatTrak™） | 震中 (破损不堪),15,18.03,71.77,3.9805879090404876
956551,宙斯 X27 电击枪 | 奥林匹斯 (久经沙场),409,10.76,59.5,5.529739776951673
871155,CZ75 | 夜半棕榈 (久经沙场),36,3.91,23,5.88235294117647
36342,R8 左轮手枪 | 渐变之色 (略有磨损),407,13.37,65,4.861630516080778
968314,沙漠之鹰 | 热处理 (战痕累累),4522,1.24,6.56,5.290322580645161
36053,P250 | 死亡轮回 (久经沙场),95,8.41,38.34,4.558858501783591
34799,FN57 | 都市危机 (略有磨损),109,2.15,11.88,5.525581395348838
968206,P2000 | 珊瑚半调 (略有磨损),176,0.37,1.74,4.702702702702703
38704,格洛克 18 型（StatTrak™） | 本生灯 (崭新出厂),100,10.24,47,4.58984375
33836,沙漠之鹰 | 锈蚀烈焰 (崭新出厂),1730,0.76,4.46,5.868421052631579
956516,格洛克 18 型 | 崩络克-18 (久经沙场),896,1.35,6.8,5.037037037037036
968134,P250 | 震中 (略有磨损),122,15.06,82.29,5.464143426294821
769224,Tec-9 | 青竹伪装 (略有磨损),262,1.4,7.4,5.2857142857142865
33836,沙漠之鹰 | 锈蚀烈焰 (崭新出厂),1730,0.76,4.46,5.868421052631579
956516,格洛克 18 型 | 崩络克-18 (久经沙场),895,1.35,6.8,5.037037037037036
968134,P250 | 震中 (略有磨损),122,15.06,82.29,5.464143426294821
769224,Tec-9 | 青竹伪装 (略有磨损),262,1.4,7.4,5.2857142857142865
45371,USP 消音版 | 脑洞大开 (略有磨损),1186,7.08,32.8,4.63276836158192
900503,双持贝瑞塔 | 食人花 (略有磨损),754,1.19,5.98,5.025210084033614
835764,FN57 | 童话城堡 (略有磨损),61,47.76,273.49,5.726340033500838
900540,格洛克 18 型（StatTrak™） | 冬季战术 (久经沙场),193,0.26,1.31,5.038461538461538
857549,格洛克 18 型 | 一目了然 (久经沙场),403,0.29,1.35,4.655172413793104
779244,沙漠之鹰（StatTrak™） | 蓝色层压板 (略有磨损),311,2.53,13,5.138339920948617
39296,P250（StatTrak™） | 元素轮廓 (久经沙场),419,0.5,2.34,4.68
34797,FN57 | 都市危机 (崭新出厂),294,2.73,14.59,5.344322344322344
871624,USP 消音版（StatTrak™） | 黑莲花 (久经沙场),177,6.46,34.09,5.277089783281735
763283,格洛克 18 型（StatTrak™） | 锈蚀烈焰 (久经沙场),328,0.46,2.24,4.869565217391305
762199,双持贝瑞塔 | 双涡轮 (久经沙场),288,3.02,12.7,4.205298013245033
36106,P250 | 翼击 (久经沙场),224,2.36,13,5.508474576271187
34402,沙漠之鹰 | 科林斯遗产 (崭新出厂),1388,1,4.77,4.77
968297,格洛克 18 型 | AXIA (久经沙场),81,58.71,338.5,5.765627661386476
38602,FN57（StatTrak™） | 霸意大名 (略有磨损),100,2.11,11.9,5.639810426540285
956625,格洛克 18 型（StatTrak™） | 崩络克-18 (崭新出厂),138,10.02,49.39,4.929141716566867
871624,USP 消音版（StatTrak™） | 黑莲花 (久经沙场),177,6.46,34.09,5.277089783281735
763283,格洛克 18 型（StatTrak™） | 锈蚀烈焰 (久经沙场),328,0.46,2.24,4.869565217391305
762199,双持贝瑞塔 | 双涡轮 (久经沙场),288,3.02,12.7,4.205298013245033
